Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
102262;3744;Harpalus luteicornis;kustfrölöpare;Art;11;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;VU;B2ab(iii)
101051;3745;Harpalus melancholicus;dysterfrölöpare;Art;127;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
102263;3747;Harpalus neglectus;dynfrölöpare;Art;161;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;NT;B2ab(iii)
102265;3749;Harpalus picipennis;knubbfrölöpare;Art;148;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
101052;3753;Harpalus rufipalpis;hedfrölöpare;Art;170;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101053;3756;Harpalus servus;oval frölöpare;Art;278;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
102266;3760;Harpalus subcylindricus;alvarfrölöpare;Art;93;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B1ab(iii)+2ab(iii)
102318;3770;Ophonus azureus;azurlöpare;Art;151;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101462;3775;Ophonus puncticollis;hjärthalsad väglöpare;Art;50;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
102223;3799;Cymindis humeralis;blank skulderlöpare;Art;104;Jordbrukslandskap (J) - Stor betydelse;EN;B2ab(iii)
102224;3800;Cymindis macularis;dynskulderlöpare;Art;97;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101183;3818;Lebia cyanocephala;blå örtlöpare;Art;78;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
100439;3849;Badister meridionalis;vätbroklöpare;Art;69;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)c(iv)
102158;3878;Agonum duftschmidi;lundkärrlöpare;Art;35;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B1ab(iii)+2ab(iii)
100210;3905;Limodromus krynickii;sumpskogslöpare;Art;162;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100211;3906;Limodromus longiventris;älvängslöpare;Art;46;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;CR (PRE);B1ab(iii)c(iv)+2ab(iii)c(iv)
100213;3915;Platynus mannerheimii;granskugglöpare;Art;46;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
100209;3917;Sericoda bogemannii;svedjelöpare;Art;1;Skog (S) - Stor betydelse;RE;
101671;3932;Poecilus punctulatus;matt sollöpare;Art;26;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;EN;B2ab(iii,iv)c(iv)
101165;3995;Laemostenus terricola;källarlöpare;Art;115;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2ab(iii)
101810;3999;Sphodrus leucophthalmus;kvarnlöpare;Art;4;Urban miljö (U) - Stor betydelse;RE;
102163;4029;Amara infima;ljungkornlöpare;Art;127;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
