Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
266096;104600;Malva oxyloba;vassmalva;Art;13;Urban miljö (U) - Stor betydelse;NA;
222037;104601;Malva parviflora;kvarnkattost;Art;99;Urban miljö (U) - Stor betydelse;NA;
222027;104602;Malva punctata;prickmalva;Art;2;Urban miljö (U) - Stor betydelse;NA;
224424;104606;Malva sylvestris subsp. mauritiana;stor rödmalva;Underart;387;Urban miljö (U) - Stor betydelse;NA;
224420;104609;Malva thuringiaca subsp. ambigua;spetsmalva;Underart;0;Urban miljö (U) - Stor betydelse;NA;
222029;104611;Malva trimestris;sommarmalva;Art;135;Urban miljö (U) - Stor betydelse;NA;
222040;104612;Malva verticillata;kransmalva;Art;190;Urban miljö (U) - Stor betydelse;NA;
224426;104613;Malva verticillata var. crispa;krusmalva;Varietet;57;Urban miljö (U) - Stor betydelse;NA;
224427;104614;Malva verticillata var. verticillata;äkta kransmalva;Varietet;59;Urban miljö (U) - Stor betydelse;NA;
221722;104620;Modiola caroliniana;sprötmalva;Art;8;Urban miljö (U) - Stor betydelse;NA;
219698;104622;Pavonia sp.;påfågelsmalva;Art;0;;;
222044;104624;Sida cordifolia;sammetsmalva;Art;0;Urban miljö (U) - Stor betydelse;NA;
222045;104626;Sida rhombifolia;smalmalva;Art;4;Urban miljö (U) - Stor betydelse;NA;
222046;104627;Sida spinosa;taggmalva;Art;2;Urban miljö (U) - Stor betydelse;NA;
264640;104629;Sidalcea candida;vit axmalva;Art;3;Urban miljö (U) - Stor betydelse;NA;
222047;104630;Sidalcea malviflora;röd axmalva;Art;11;Urban miljö (U) - Stor betydelse;NA;
222048;104632;Sphaeralcea angustifolia;bandmalva;Art;0;Urban miljö (U) - Stor betydelse;NA;
6332716;104634;Tilia × haynaldiana;bohuslind × silverlind;Art;1;;NA;
6008962;104635;Tilia americana;svartlind;Art;16;;NA;
265559;104640;Tilia tomentosa;silverlind;Art;57;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
222053;104642;Triumfetta trichocarpa;triumfetta;Art;0;Urban miljö (U) - Stor betydelse;NA;
259734;104645;Daphne laureola;lagertibast;Art;47;Urban miljö (U) - Stor betydelse, Skog (S) - Har betydelse;NA;
222049;104648;Thymelaea passerina;sparvört;Art;0;Urban miljö (U) - Stor betydelse;NA;
6332724;104652;Cistus laurifolius;lagercistros;Art;17;;NA;
264641;104661;Helianthemum nummularium subsp. pyrenaicum;röd solvända;Underart;3;Urban miljö (U) - Stor betydelse;NA;
220610;104670;Tropaeolum majus;indiankrasse;Art;1413;Urban miljö (U) - Stor betydelse;NA;
220611;104671;Tropaeolum peregrinum;fjärilskrasse;Art;26;Urban miljö (U) - Stor betydelse;NA;
221927;104675;Limnanthes douglasii;sumpört;Art;40;Urban miljö (U) - Stor betydelse;NA;
222107;104678;Oligomeris linifolia;pärlreseda;Art;0;Urban miljö (U) - Stor betydelse;NA;
220575;104680;Reseda alba;vitreseda;Art;407;Urban miljö (U) - Stor betydelse;NA;
220576;104681;Reseda complicata;spanskreseda;Art;4;Urban miljö (U) - Stor betydelse;NA;
220579;104684;Reseda odorata;luktreseda;Art;285;Urban miljö (U) - Stor betydelse;NA;
220580;104685;Reseda phyteuma;nickreseda;Art;2;Urban miljö (U) - Stor betydelse;NA;
259692;104691;Polanisia dodecandra;morrhårsblomster;Art;26;Urban miljö (U) - Stor betydelse;NA;
220612;104693;Tarenaya hassleriana;paradisblomster;Art;303;Urban miljö (U) - Stor betydelse;NA;
222809;104694;Cleome dodecandra;;Art;0;Urban miljö (U) - Stor betydelse;;
220411;104700;Alyssum dasycarpum;ulldådra;Art;0;Urban miljö (U) - Stor betydelse;NA;
220415;104701;Alyssum desertorum;stäppdådra;Art;0;Urban miljö (U) - Stor betydelse;NA;
220412;104702;Alyssum hirsutum;kvarndådra;Art;11;Urban miljö (U) - Stor betydelse;NA;
264642;104703;Alyssum montanum;liten stenört;Art;39;Urban miljö (U) - Stor betydelse;NA;
220413;104704;Alyssum murale;silverstenört;Art;79;Urban miljö (U) - Stor betydelse;NA;
220414;104705;Alyssum rostratum;stiftdådra;Art;0;Urban miljö (U) - Stor betydelse;NA;
223807;104706;Alyssum simplex;smådådra;Art;5;Urban miljö (U) - Stor betydelse;NA;
220410;104707;Alyssum simplex agg.;smådådra (aggregat);Kollektivtaxon;5;Urban miljö (U) - Stor betydelse;NA;
223808;104708;Alyssum strigosum;;Art;0;Urban miljö (U) - Stor betydelse;NA;
220420;104723;Arabis blepharophylla;vårtrav;Art;19;Urban miljö (U) - Stor betydelse;NA;
220421;104724;Arabis caucasica;fagertrav;Art;543;Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
220418;104726;Arabis × digenea;hybridtrav;Art;17;Urban miljö (U) - Stor betydelse;NA;
220426;104734;Arabis procurrens;kryptrav;Art;60;Urban miljö (U) - Stor betydelse;NA;
220429;104738;Aubrieta × cultorum;aubrietia;Art;160;Urban miljö (U) - Stor betydelse;NA;
223415;104741;Aurinia saxatilis;praktstenört;Art;167;Urban miljö (U) - Stor betydelse;NA;
221602;104743;Barbarea intermedia;mellangyllen;Art;304;Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
220432;104745;Barbarea verna;vårgyllen;Art;39;Urban miljö (U) - Stor betydelse;NA;
220438;104757;Brassica carinata;etiopisk kål;Art;12;Urban miljö (U) - Stor betydelse;NA;
220004;104758;Brassica deflexa;spretsenap;Art;0;Urban miljö (U) - Stor betydelse;NA;
220437;104759;Brassica elongata;svartahavskål;Art;141;Urban miljö (U) - Stor betydelse;NA;
265576;104761;Brassica elongata subsp. integrifolia;svartahavskål;Underart;86;Urban miljö (U) - Stor betydelse;NA;
220439;104762;Brassica juncea;sareptasenap;Art;732;Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
220440;104763;Brassica napus;kålrot/raps;Art;6320;Urban miljö (U) - Stor betydelse;NA;
223818;104764;Brassica napus subsp. napus;raps;Underart;5229;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
223819;104765;Brassica napus subsp. rapifera;kålrot;Underart;63;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
220441;104766;Brassica nigra;svartsenap;Art;812;Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
220442;104767;Brassica oleracea;kål;Art;531;Urban miljö (U) - Stor betydelse;NA;
223820;104768;Brassica oleracea var. capitata;huvudkål;Varietet;10;Urban miljö (U) - Stor betydelse;NA;
223821;104769;Brassica oleracea var. gongylodes;kålrabbi;Varietet;2;Urban miljö (U) - Stor betydelse;NA;
264644;104770;Brassica oleracea var. italica;broccoli;Varietet;12;Urban miljö (U) - Stor betydelse;NA;
223822;104771;Brassica oleracea var. medullosa;fodermärgkål;Varietet;56;Urban miljö (U) - Stor betydelse;NA;
223823;104772;Brassica oleracea var. oleracea;vildkål;Varietet;3;Urban miljö (U) - Stor betydelse;NA;
6051607;104773;Brassica oleracea var. palmifolia;palmkål;Varietet;4;;NA;
223824;104774;Brassica oleracea var. sabellica;grönkål;Varietet;48;Urban miljö (U) - Stor betydelse;NA;
220443;104775;Brassica rapa;rova/rybs/åkerkål;Art;7333;Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NA;
6002843;104777;Brassica rapa subsp. nipposinica;mizunakål;Underart;9;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
